Age,Country of Birth,Gender,Employment Status,Average Drinks per Day
72,Germany,Male,Part-Time,0.9
65,United States,Non-Binary,Self-Employed,1.5
38,United States,Non-Binary,Part-Time,2.9
31,India,Female,Unemployed,1.4
78,Australia,Female,Self-Employed,1.0
52,Canada,Non-Binary,Self-Employed,1.2
75,China,Male,Self-Employed,2.5
36,Mexico,Male,Full-Time,6.7
80,United States,Male,Self-Employed,1.6
68,Canada,Non-Binary,Unemployed,0.4
20,United States,Female,Full-Time,0.6
46,China,Non-Binary,Self-Employed,0.1
40,China,Non-Binary,Part-Time,1.2
31,China,Non-Binary,Part-Time,2.1
74,Australia,Female,Part-Time,0.0
69,China,Non-Binary,Self-Employed,1.8
60,Germany,Non-Binary,Part-Time,0.4
23,Canada,Non-Binary,Part-Time,0.3
75,Mexico,Female,Part-Time,4.4
44,India,Non-Binary,Part-Time,0.2
50,China,Male,Full-Time,0.7
38,Germany,Male,Part-Time,0.9
37,China,Female,Part-Time,0.7
45,China,Female,Unemployed,4.5
75,Mexico,Female,Part-Time,0.1
47,Canada,Male,Part-Time,1.5
41,Australia,Non-Binary,Unemployed,5.5
70,China,Male,Full-Time,1.3
78,China,Female,Full-Time,0.6
30,India,Female,Full-Time,0.5
73,United States,Non-Binary,Unemployed,4.2
42,Germany,Non-Binary,Self-Employed,0.6
72,United States,Female,Unemployed,1.9
44,Canada,Male,Full-Time,6.2
18,India,Female,Full-Time,0.9
41,United States,Female,Unemployed,0.2
73,Australia,Female,Unemployed,2.6
26,India,Male,Self-Employed,0.8
75,United States,Non-Binary,Unemployed,5.7
57,Mexico,Non-Binary,Unemployed,0.7
71,Australia,Female,Full-Time,1.9
65,United States,Male,Full-Time,1.8
67,India,Female,Unemployed,4.6
75,India,Male,Full-Time,0.9
33,Canada,Non-Binary,Part-Time,4.5
72,Australia,Non-Binary,Part-Time,3.2
49,China,Non-Binary,Part-Time,1.9
57,Australia,Male,Full-Time,1.1
32,United States,Non-Binary,Unemployed,3.5
59,China,Male,Self-Employed,0.4
20,China,Non-Binary,Part-Time,0.3
27,United States,Female,Part-Time,0.6
60,Canada,Male,Part-Time,1.5
24,Mexico,Female,Self-Employed,0.3
78,India,Male,Full-Time,1.2
65,Australia,Non-Binary,Part-Time,0.9
34,Germany,Female,Full-Time,4.6
58,Australia,Non-Binary,Part-Time,1.3
18,India,Female,Full-Time,0.1
51,Mexico,Non-Binary,Full-Time,0.9
46,India,Non-Binary,Unemployed,4.8
63,Mexico,Male,Full-Time,5.8
57,Germany,Non-Binary,Part-Time,2.9
59,Germany,Male,Full-Time,0.4
55,Australia,Male,Self-Employed,1.6
62,India,Female,Full-Time,0.6
65,Mexico,Male,Unemployed,8.6
59,Germany,Male,Part-Time,4.9
70,United States,Non-Binary,Self-Employed,0.2
22,Germany,Male,Unemployed,2.1
37,Australia,Male,Unemployed,1.1
67,China,Female,Self-Employed,2.5
70,Australia,Non-Binary,Self-Employed,3.8
64,Germany,Male,Unemployed,0.8
37,United States,Non-Binary,Unemployed,0.2
39,United States,Male,Part-Time,0.3
67,United States,Non-Binary,Part-Time,0.5
68,Canada,Female,Self-Employed,0.2
39,India,Non-Binary,Part-Time,0.6
64,Germany,Male,Unemployed,4.1
59,Germany,Female,Part-Time,1.4
49,Germany,Female,Self-Employed,1.7
58,Canada,Non-Binary,Unemployed,0.8
52,China,Non-Binary,Full-Time,1.4
71,Mexico,Male,Self-Employed,1.9
58,Germany,Non-Binary,Full-Time,1.5
22,Germany,Male,Part-Time,1.4
46,Germany,Female,Unemployed,1.0
29,Australia,Female,Part-Time,1.2
50,Canada,Male,Self-Employed,0.5
19,India,Male,Unemployed,3.0
45,Mexico,Male,Full-Time,9.6
75,Mexico,Male,Full-Time,1.0
50,Mexico,Female,Unemployed,0.0
49,Canada,Non-Binary,Full-Time,2.4
45,Canada,Male,Self-Employed,1.1
24,Mexico,Non-Binary,Unemployed,2.4
31,Mexico,Female,Full-Time,0.9
80,United States,Male,Self-Employed,3.4
58,Canada,Female,Unemployed,5.0
28,Mexico,Male,Unemployed,7.8
62,Germany,Non-Binary,Unemployed,3.2
57,India,Non-Binary,Self-Employed,0.1
51,United States,Male,Unemployed,0.6
45,Germany,Non-Binary,Unemployed,0.0
30,Mexico,Male,Full-Time,1.0
45,Canada,Female,Self-Employed,2.6
34,Germany,Male,Part-Time,3.2
47,Mexico,Female,Full-Time,0.3
22,China,Female,Part-Time,1.6
36,Mexico,Non-Binary,Part-Time,3.1
79,India,Non-Binary,Self-Employed,0.6
77,United States,Female,Full-Time,2.4
44,Canada,Female,Full-Time,1.2
50,China,Male,Self-Employed,13.3
54,Germany,Male,Part-Time,1.9
80,Mexico,Non-Binary,Unemployed,1.4
28,United States,Female,Part-Time,3.1
61,China,Male,Unemployed,0.6
80,Australia,Male,Part-Time,4.4
20,Germany,Female,Part-Time,2.5
52,Australia,Male,Full-Time,1.4
49,Canada,Non-Binary,Full-Time,0.2
79,China,Male,Unemployed,3.3
20,United States,Non-Binary,Unemployed,0.4
34,China,Female,Unemployed,2.0
29,Canada,Female,Unemployed,0.2
25,Canada,Non-Binary,Unemployed,6.3
33,India,Non-Binary,Unemployed,1.4
50,India,Female,Full-Time,0.5
78,Canada,Male,Full-Time,4.0
67,Canada,Non-Binary,Full-Time,0.2
63,Canada,Non-Binary,Self-Employed,2.9
69,Germany,Non-Binary,Unemployed,1.5
57,China,Non-Binary,Self-Employed,0.8
50,China,Female,Self-Employed,1.1
44,United States,Male,Part-Time,1.7
68,India,Female,Part-Time,1.6
47,Germany,Male,Self-Employed,1.8
47,Canada,Non-Binary,Self-Employed,2.4
38,United States,Non-Binary,Unemployed,2.9
67,Mexico,Non-Binary,Unemployed,1.7
34,Germany,Female,Part-Time,17.4
65,Canada,Female,Part-Time,0.3
59,United States,Male,Self-Employed,1.5
78,India,Non-Binary,Part-Time,1.9
40,Canada,Non-Binary,Unemployed,0.8
69,India,Non-Binary,Self-Employed,1.5
32,Australia,Non-Binary,Part-Time,1.1
25,Canada,Female,Full-Time,0.0
66,Mexico,Male,Unemployed,4.1
77,Canada,Non-Binary,Part-Time,2.4
67,United States,Female,Part-Time,0.1
54,Germany,Male,Full-Time,1.1
26,India,Non-Binary,Self-Employed,0.6
69,Canada,Non-Binary,Part-Time,0.3
31,Germany,Non-Binary,Unemployed,1.7
73,Germany,Non-Binary,Self-Employed,0.8
23,Germany,Male,Part-Time,0.6
23,Canada,Male,Unemployed,2.4
30,India,Female,Part-Time,1.8
54,United States,Female,Self-Employed,0.0
35,Australia,Non-Binary,Unemployed,0.0
21,United States,Non-Binary,Full-Time,0.1
39,India,Female,Full-Time,4.4
32,Australia,Female,Full-Time,2.4
59,Australia,Non-Binary,Self-Employed,0.5
63,China,Male,Self-Employed,4.7
78,United States,Male,Unemployed,11.7
21,Germany,Non-Binary,Self-Employed,1.0
19,Mexico,Male,Full-Time,0.7
68,Mexico,Female,Self-Employed,1.5
80,India,Non-Binary,Part-Time,0.3
23,Canada,Male,Self-Employed,0.4
50,United States,Non-Binary,Part-Time,0.5
46,Australia,Male,Unemployed,8.9
44,Canada,Male,Unemployed,9.1
60,India,Female,Unemployed,3.0
18,India,Male,Self-Employed,12.9
34,China,Non-Binary,Self-Employed,0.2
76,Mexico,Non-Binary,Unemployed,0.5
40,Australia,Non-Binary,Self-Employed,5.4
56,China,Male,Full-Time,4.3
28,Mexico,Non-Binary,Self-Employed,0.1
63,Canada,Male,Part-Time,0.3
21,Canada,Female,Self-Employed,1.5
48,Canada,Non-Binary,Part-Time,0.1
21,Australia,Male,Self-Employed,0.6
70,Canada,Non-Binary,Unemployed,0.2
63,Canada,Female,Part-Time,0.2
74,Australia,Non-Binary,Unemployed,0.5
80,India,Non-Binary,Full-Time,0.2
50,United States,Male,Self-Employed,1.1
72,Australia,Female,Self-Employed,0.9
39,India,Male,Unemployed,3.2
61,China,Female,Unemployed,0.5
71,China,Non-Binary,Full-Time,1.0
38,Germany,Male,Unemployed,4.0
71,Canada,Non-Binary,Self-Employed,0.6
47,Australia,Female,Part-Time,1.0
25,Mexico,Non-Binary,Part-Time,0.2
22,Australia,Male,Part-Time,1.2
69,Canada,Male,Part-Time,0.2
59,Canada,Non-Binary,Unemployed,0.6
43,Canada,Non-Binary,Part-Time,0.7
69,United States,Male,Unemployed,4.7
32,Germany,Non-Binary,Self-Employed,1.3
50,Mexico,Male,Part-Time,4.8
35,Germany,Non-Binary,Part-Time,5.7
26,Canada,Male,Part-Time,0.6
18,Germany,Female,Full-Time,3.2
55,China,Male,Part-Time,0.6
71,China,Male,Part-Time,0.9
68,Germany,Female,Part-Time,0.0
26,Mexico,Female,Self-Employed,1.8
23,Germany,Female,Self-Employed,2.5
41,United States,Female,Part-Time,0.7
61,China,Non-Binary,Part-Time,0.6
37,United States,Male,Self-Employed,3.9
35,United States,Non-Binary,Part-Time,0.7
67,United States,Female,Full-Time,2.7
77,India,Non-Binary,Unemployed,0.8
65,Canada,Non-Binary,Self-Employed,1.1
25,China,Female,Full-Time,0.2
62,Mexico,Female,Unemployed,6.7
67,Germany,Male,Self-Employed,5.2
77,China,Male,Part-Time,1.6
26,Germany,Non-Binary,Self-Employed,1.9
30,China,Male,Self-Employed,1.5
77,Canada,Male,Full-Time,0.9
43,Germany,Female,Self-Employed,1.5
26,China,Male,Self-Employed,0.7
41,Canada,Male,Self-Employed,14.7
58,Canada,Male,Unemployed,4.0
80,India,Female,Self-Employed,2.9
25,Mexico,Male,Full-Time,12.7
45,United States,Non-Binary,Full-Time,2.2
61,Germany,Male,Self-Employed,3.0
77,Mexico,Female,Part-Time,1.0
36,Canada,Non-Binary,Unemployed,11.3
23,United States,Male,Part-Time,0.4
59,China,Non-Binary,Self-Employed,2.3
79,Germany,Female,Part-Time,3.0
37,Australia,Non-Binary,Full-Time,1.2
35,Mexico,Non-Binary,Part-Time,1.3
45,Germany,Female,Part-Time,1.5
63,China,Female,Part-Time,1.1
62,Germany,Non-Binary,Unemployed,2.7
66,China,Male,Unemployed,1.4
20,Canada,Female,Part-Time,1.9
41,China,Male,Part-Time,2.5
54,India,Non-Binary,Self-Employed,0.9
64,China,Non-Binary,Full-Time,1.8
63,India,Non-Binary,Unemployed,0.8
77,Mexico,Male,Self-Employed,0.7
50,United States,Non-Binary,Unemployed,2.8
65,Australia,Non-Binary,Unemployed,4.1
48,Australia,Female,Self-Employed,2.9
18,Mexico,Male,Unemployed,1.7
76,China,Female,Part-Time,1.0
32,China,Male,Full-Time,3.7
21,Australia,Male,Full-Time,0.4
27,Australia,Female,Unemployed,0.6
37,Canada,Non-Binary,Self-Employed,7.3
47,China,Female,Self-Employed,2.5
40,United States,Non-Binary,Part-Time,3.0
56,Mexico,Non-Binary,Part-Time,0.1
32,Germany,Female,Unemployed,8.2
21,China,Female,Unemployed,2.9
73,Mexico,Male,Part-Time,3.2
71,Mexico,Female,Part-Time,0.2
77,Germany,Non-Binary,Unemployed,3.4
74,China,Non-Binary,Full-Time,2.3
76,India,Male,Self-Employed,3.3
70,United States,Male,Part-Time,0.5
47,Canada,Non-Binary,Full-Time,3.6
34,Canada,Female,Unemployed,21.1
72,Canada,Male,Full-Time,1.4
78,India,Male,Unemployed,2.6
41,Australia,Non-Binary,Unemployed,2.5
53,Germany,Non-Binary,Self-Employed,6.0
54,Germany,Female,Part-Time,2.2
53,Canada,Male,Full-Time,4.0
54,China,Non-Binary,Unemployed,0.7
73,United States,Female,Full-Time,0.0
63,China,Male,Self-Employed,2.0
56,Germany,Female,Self-Employed,0.1
59,China,Male,Part-Time,3.2
22,China,Male,Unemployed,1.9
55,Australia,Female,Self-Employed,0.4
76,India,Non-Binary,Self-Employed,2.0
39,Australia,Non-Binary,Full-Time,4.7
23,United States,Male,Part-Time,1.9
46,United States,Non-Binary,Unemployed,1.6
71,United States,Female,Part-Time,0.1
43,India,Male,Full-Time,0.5
73,India,Male,Self-Employed,0.3
73,Australia,Male,Unemployed,3.4
36,United States,Female,Part-Time,1.5
67,India,Male,Part-Time,0.1
27,China,Non-Binary,Self-Employed,0.1
59,India,Female,Part-Time,2.3
57,United States,Female,Unemployed,0.5
54,United States,Male,Self-Employed,2.9
33,Mexico,Male,Self-Employed,6.3
55,China,Non-Binary,Part-Time,1.9
79,Australia,Female,Part-Time,1.4
70,India,Female,Self-Employed,0.6
26,Australia,Non-Binary,Full-Time,2.3
18,United States,Female,Part-Time,1.0
67,China,Male,Unemployed,1.3
32,China,Male,Part-Time,1.9
72,Canada,Female,Self-Employed,0.0
64,Canada,Male,Unemployed,0.9
47,China,Non-Binary,Full-Time,5.0
54,India,Female,Part-Time,0.3
60,Canada,Non-Binary,Part-Time,0.9
21,India,Male,Part-Time,1.8
35,Australia,Male,Unemployed,0.5
60,Australia,Non-Binary,Self-Employed,1.0
75,Canada,Female,Part-Time,0.9
37,Australia,Male,Part-Time,5.3
61,United States,Female,Part-Time,0.3
75,Canada,Male,Unemployed,5.1
19,United States,Female,Part-Time,3.1
64,Australia,Male,Full-Time,1.4
50,India,Non-Binary,Unemployed,1.8
72,Canada,Male,Self-Employed,1.5
20,Australia,Male,Self-Employed,2.2
36,Germany,Male,Unemployed,4.5
42,Australia,Male,Part-Time,1.0
45,United States,Female,Self-Employed,2.2
52,Canada,Female,Self-Employed,2.6
79,China,Female,Unemployed,0.4
22,Australia,Non-Binary,Part-Time,0.1
54,United States,Female,Full-Time,1.3
28,Canada,Non-Binary,Unemployed,4.8
39,Germany,Non-Binary,Part-Time,1.9
72,China,Non-Binary,Part-Time,1.6
38,Canada,Male,Full-Time,0.4
32,Mexico,Male,Full-Time,0.1
34,India,Male,Self-Employed,1.6
19,Canada,Female,Unemployed,0.2
32,United States,Female,Full-Time,0.1
49,United States,Non-Binary,Full-Time,0.3
63,India,Male,Part-Time,1.8
56,China,Female,Part-Time,0.5
22,United States,Non-Binary,Self-Employed,0.5
54,United States,Female,Full-Time,0.8
63,Mexico,Female,Part-Time,2.0
20,China,Female,Unemployed,3.6
20,Mexico,Non-Binary,Self-Employed,0.8
79,United States,Non-Binary,Self-Employed,3.3
46,Mexico,Male,Unemployed,3.3
21,Mexico,Non-Binary,Unemployed,3.2
42,Canada,Female,Self-Employed,1.1
21,China,Female,Full-Time,0.0
48,Australia,Non-Binary,Unemployed,1.7
48,Germany,Male,Self-Employed,0.1
22,Germany,Non-Binary,Self-Employed,3.0
31,Australia,Male,Unemployed,8.6
71,Mexico,Male,Full-Time,1.0
43,Mexico,Male,Self-Employed,3.2
48,China,Female,Unemployed,2.5
51,Mexico,Male,Self-Employed,2.1
80,Germany,Male,Unemployed,3.9
72,Mexico,Male,Part-Time,0.8
33,Canada,Female,Full-Time,0.7
70,Mexico,Non-Binary,Full-Time,0.3
52,Canada,Female,Part-Time,0.8
37,India,Male,Self-Employed,5.2
79,Australia,Male,Part-Time,0.5
25,Australia,Female,Part-Time,0.3
68,Australia,Male,Part-Time,2.9
58,Canada,Female,Self-Employed,5.1
62,United States,Male,Full-Time,3.3
30,India,Female,Part-Time,9.4
54,India,Male,Part-Time,0.2
33,Germany,Female,Part-Time,2.4
42,Canada,Non-Binary,Full-Time,0.8
28,United States,Male,Self-Employed,1.9
27,Canada,Male,Full-Time,6.7
60,India,Non-Binary,Full-Time,1.7
62,Australia,Non-Binary,Part-Time,3.8
21,Canada,Non-Binary,Full-Time,0.5
21,India,Non-Binary,Unemployed,2.4
67,Australia,Non-Binary,Unemployed,0.2
38,United States,Non-Binary,Full-Time,0.3
23,United States,Female,Unemployed,0.2
65,China,Female,Self-Employed,2.3
61,Germany,Non-Binary,Full-Time,0.2
19,India,Female,Unemployed,0.2
32,China,Female,Unemployed,1.6
62,United States,Female,Self-Employed,1.2
18,Mexico,Male,Unemployed,0.6
68,Canada,Female,Full-Time,0.2
75,United States,Male,Part-Time,1.0
46,Germany,Male,Full-Time,0.0
80,Germany,Non-Binary,Self-Employed,0.1
21,Mexico,Female,Full-Time,0.2
42,China,Male,Unemployed,4.4
22,United States,Male,Unemployed,1.9
41,China,Male,Part-Time,1.3
34,India,Female,Unemployed,1.0
69,India,Male,Self-Employed,11.2
75,China,Male,Unemployed,6.7
48,Mexico,Male,Full-Time,3.4
53,India,Male,Self-Employed,0.6
74,Germany,Female,Unemployed,7.5
20,Australia,Male,Self-Employed,0.4
31,Australia,Male,Unemployed,9.4
41,India,Female,Full-Time,0.6
65,Canada,Male,Full-Time,1.1
29,Canada,Female,Unemployed,1.2
31,Germany,Female,Unemployed,2.3
42,Australia,Female,Self-Employed,1.3
56,Australia,Female,Self-Employed,3.5
64,China,Male,Unemployed,0.7
32,India,Non-Binary,Self-Employed,7.3
50,Australia,Male,Full-Time,0.3
41,Germany,Non-Binary,Part-Time,0.7
77,Mexico,Non-Binary,Part-Time,0.6
41,Canada,Non-Binary,Unemployed,0.4
28,Australia,Non-Binary,Part-Time,0.3
47,Australia,Non-Binary,Full-Time,0.7
25,Germany,Male,Self-Employed,1.1
42,Mexico,Male,Part-Time,0.1
64,Australia,Female,Part-Time,1.2
73,Australia,Male,Unemployed,1.7
51,China,Non-Binary,Part-Time,0.3
78,Germany,Non-Binary,Unemployed,1.1
45,Germany,Male,Full-Time,0.8
72,Canada,Non-Binary,Self-Employed,2.3
75,Germany,Female,Full-Time,0.1
59,Australia,Female,Unemployed,0.0
36,Mexico,Non-Binary,Part-Time,0.9
48,India,Male,Part-Time,1.9
39,Mexico,Male,Unemployed,4.5
20,China,Male,Self-Employed,3.7
41,China,Female,Self-Employed,0.1
58,Mexico,Non-Binary,Self-Employed,0.2
18,India,Female,Part-Time,1.7
55,India,Male,Unemployed,2.2
59,China,Non-Binary,Unemployed,1.0
74,India,Non-Binary,Part-Time,1.8
47,Germany,Male,Full-Time,2.0
42,Canada,Non-Binary,Part-Time,1.9
22,China,Male,Self-Employed,1.8
62,China,Female,Self-Employed,2.8
59,United States,Male,Unemployed,9.9
57,Mexico,Female,Self-Employed,0.2
18,Mexico,Female,Unemployed,1.7
59,Mexico,Non-Binary,Unemployed,1.2
78,Canada,Non-Binary,Full-Time,0.1
35,United States,Male,Full-Time,0.2
74,United States,Female,Unemployed,11.3
22,Australia,Non-Binary,Unemployed,2.7
24,United States,Non-Binary,Self-Employed,0.5
76,Mexico,Male,Self-Employed,3.9
38,United States,Male,Self-Employed,3.7
79,Germany,Male,Unemployed,4.7
29,India,Non-Binary,Unemployed,5.9
67,India,Non-Binary,Part-Time,0.7
38,Mexico,Non-Binary,Unemployed,5.4
63,Australia,Male,Full-Time,3.3
64,Mexico,Non-Binary,Full-Time,1.4
71,Germany,Non-Binary,Full-Time,1.6
31,Canada,Female,Unemployed,3.3
24,Germany,Female,Part-Time,0.1
70,Germany,Non-Binary,Unemployed,0.4
57,Mexico,Non-Binary,Self-Employed,0.2
59,Mexico,Male,Part-Time,6.7
45,India,Male,Unemployed,4.2
34,Mexico,Male,Part-Time,0.3
61,China,Female,Full-Time,7.8
72,United States,Non-Binary,Full-Time,0.4
62,United States,Male,Full-Time,3.3
33,Germany,Non-Binary,Full-Time,7.1
79,Mexico,Female,Part-Time,1.3
58,China,Non-Binary,Unemployed,3.0
68,Australia,Male,Self-Employed,2.6
80,Mexico,Male,Unemployed,3.2
41,Australia,Male,Self-Employed,2.3
41,Canada,Non-Binary,Unemployed,3.7
27,Mexico,Male,Part-Time,1.1
49,Germany,Male,Unemployed,1.0
51,India,Non-Binary,Full-Time,1.3
60,Australia,Non-Binary,Part-Time,8.2
33,Australia,Female,Part-Time,2.1
25,Canada,Male,Self-Employed,1.5
69,India,Non-Binary,Full-Time,3.2
67,Germany,Female,Self-Employed,0.9
71,Canada,Female,Full-Time,0.4
44,Canada,Male,Self-Employed,0.1
69,United States,Male,Self-Employed,0.8
50,United States,Male,Full-Time,0.5
58,Mexico,Female,Full-Time,4.2
58,Germany,Non-Binary,Self-Employed,0.6
65,Mexico,Non-Binary,Part-Time,5.6
25,China,Non-Binary,Unemployed,0.9
75,India,Male,Unemployed,11.1
19,China,Female,Full-Time,0.1
19,United States,Female,Self-Employed,3.7
55,Germany,Male,Full-Time,0.4
62,Canada,Female,Part-Time,0.1
35,Germany,Non-Binary,Full-Time,1.9
48,China,Male,Part-Time,1.3
46,Germany,Female,Full-Time,4.9
68,India,Female,Self-Employed,0.9
49,United States,Non-Binary,Full-Time,1.4
19,Mexico,Female,Self-Employed,0.0
68,Australia,Female,Self-Employed,0.9
41,United States,Female,Full-Time,1.7
66,China,Non-Binary,Self-Employed,0.3
65,Mexico,Male,Self-Employed,0.8
22,Australia,Female,Full-Time,0.8
67,China,Non-Binary,Self-Employed,2.3
70,Mexico,Non-Binary,Full-Time,1.5
33,Germany,Male,Full-Time,0.4
29,Germany,Male,Unemployed,0.5
37,Mexico,Non-Binary,Part-Time,11.4
53,India,Male,Unemployed,9.7
77,Canada,Female,Self-Employed,4.5
18,United States,Male,Part-Time,1.0
74,Australia,Non-Binary,Full-Time,0.3
19,Mexico,Female,Full-Time,2.0
51,Australia,Male,Full-Time,2.9
58,India,Female,Part-Time,0.6
74,Mexico,Non-Binary,Unemployed,0.2
30,Canada,Non-Binary,Self-Employed,2.5
61,China,Male,Part-Time,0.5
48,China,Non-Binary,Self-Employed,2.8
25,Canada,Male,Full-Time,4.0
41,Mexico,Female,Part-Time,2.7
60,United States,Non-Binary,Self-Employed,2.7
50,Canada,Male,Self-Employed,0.8
25,Mexico,Female,Unemployed,5.0
67,Australia,Female,Full-Time,0.8
66,India,Female,Part-Time,3.2
39,Canada,Male,Unemployed,1.1
33,Australia,Male,Part-Time,3.1
62,Germany,Male,Part-Time,1.0
29,Germany,Female,Part-Time,0.3
46,China,Non-Binary,Full-Time,1.7
74,Canada,Female,Part-Time,0.9
54,Germany,Non-Binary,Full-Time,0.0
35,China,Non-Binary,Full-Time,0.2
45,China,Female,Self-Employed,2.1
69,United States,Male,Unemployed,12.6
36,United States,Non-Binary,Full-Time,1.8
32,China,Female,Full-Time,4.9
34,Australia,Non-Binary,Self-Employed,5.4
42,Canada,Non-Binary,Part-Time,0.2
34,Australia,Female,Self-Employed,1.5
35,China,Male,Self-Employed,1.2
52,Mexico,Female,Part-Time,2.2
66,Australia,Female,Self-Employed,2.2
21,Australia,Female,Unemployed,2.0
76,Canada,Non-Binary,Unemployed,0.7
20,Germany,Non-Binary,Unemployed,2.5
42,India,Non-Binary,Part-Time,0.6
45,Canada,Female,Full-Time,1.1
22,India,Non-Binary,Self-Employed,0.5
63,Germany,Female,Unemployed,1.9
67,United States,Female,Full-Time,0.7
45,China,Female,Full-Time,5.0
48,Germany,Non-Binary,Self-Employed,0.6
79,Germany,Female,Full-Time,2.2
58,Canada,Male,Part-Time,3.4
49,United States,Non-Binary,Part-Time,1.7
34,Australia,Non-Binary,Self-Employed,6.5
58,Germany,Male,Part-Time,1.0
60,Canada,Non-Binary,Part-Time,0.5
18,Mexico,Non-Binary,Self-Employed,0.8
20,Mexico,Male,Self-Employed,1.3
41,China,Non-Binary,Self-Employed,2.7
79,Mexico,Female,Part-Time,1.0
30,United States,Non-Binary,Unemployed,8.5
75,Germany,Female,Part-Time,2.8
21,Canada,Female,Unemployed,6.5
19,India,Female,Unemployed,2.8
71,Mexico,Female,Part-Time,0.4
58,Germany,Non-Binary,Unemployed,5.8
52,Germany,Male,Unemployed,2.4
20,Australia,Non-Binary,Unemployed,1.2
70,India,Male,Unemployed,0.9
32,Canada,Male,Part-Time,5.7
20,China,Male,Part-Time,1.5
49,China,Non-Binary,Unemployed,1.3
54,Canada,Non-Binary,Self-Employed,2.2
65,Mexico,Female,Self-Employed,3.0
71,Germany,Male,Full-Time,0.3
48,Mexico,Non-Binary,Part-Time,3.3
71,Mexico,Female,Part-Time,0.1
60,China,Non-Binary,Self-Employed,0.2
54,Germany,Non-Binary,Self-Employed,2.1
53,Australia,Female,Unemployed,5.7
25,Mexico,Non-Binary,Self-Employed,0.5
61,Canada,Female,Self-Employed,2.8
40,China,Non-Binary,Full-Time,0.5
39,India,Female,Part-Time,0.2
32,Canada,Non-Binary,Part-Time,3.1
25,Australia,Female,Self-Employed,4.4
58,India,Female,Self-Employed,0.6
80,Mexico,Non-Binary,Part-Time,0.1
27,United States,Male,Part-Time,0.9
36,India,Female,Part-Time,2.8
43,India,Non-Binary,Self-Employed,0.9
24,Mexico,Non-Binary,Full-Time,2.0
53,India,Non-Binary,Unemployed,0.4
31,Mexico,Male,Self-Employed,4.8
74,Canada,Female,Self-Employed,0.6
74,Mexico,Male,Self-Employed,1.3
54,Germany,Male,Unemployed,1.5
53,India,Non-Binary,Unemployed,3.0
38,Mexico,Non-Binary,Full-Time,1.1
28,India,Male,Part-Time,2.2
61,Germany,Male,Unemployed,4.0
18,Mexico,Non-Binary,Full-Time,1.1
19,Australia,Male,Self-Employed,0.3
24,Germany,Female,Unemployed,2.4
80,China,Non-Binary,Full-Time,0.3
74,Germany,Male,Unemployed,0.6
55,Germany,Male,Full-Time,0.7
42,India,Non-Binary,Full-Time,1.9
71,United States,Male,Part-Time,3.3
41,United States,Female,Part-Time,2.2
29,United States,Female,Part-Time,2.6
56,Mexico,Female,Part-Time,0.1
46,China,Non-Binary,Part-Time,0.2
60,India,Non-Binary,Unemployed,0.6
45,India,Non-Binary,Unemployed,11.8
70,Mexico,Female,Part-Time,0.1
69,United States,Male,Unemployed,6.5
71,Mexico,Non-Binary,Self-Employed,1.5
56,China,Male,Full-Time,2.5
37,China,Female,Self-Employed,2.3
35,Canada,Non-Binary,Full-Time,1.8
69,Mexico,Non-Binary,Self-Employed,1.1
72,Australia,Non-Binary,Unemployed,0.5
49,China,Non-Binary,Full-Time,5.9
37,Mexico,Non-Binary,Self-Employed,3.8
56,Australia,Male,Self-Employed,0.4
55,Canada,Male,Unemployed,6.7
70,Germany,Non-Binary,Full-Time,2.3
51,India,Male,Part-Time,1.9
63,Mexico,Female,Full-Time,0.7
73,Canada,Female,Full-Time,0.9
69,India,Male,Part-Time,1.1
29,China,Female,Self-Employed,2.6
41,Mexico,Male,Self-Employed,4.9
58,Germany,Female,Part-Time,2.7
48,China,Non-Binary,Unemployed,8.3
80,China,Male,Unemployed,0.3
68,Germany,Female,Full-Time,1.3
60,United States,Male,Full-Time,1.5
29,Australia,Female,Part-Time,0.3
25,China,Female,Full-Time,0.9
57,India,Male,Full-Time,0.3
80,Australia,Male,Self-Employed,4.0
56,United States,Non-Binary,Unemployed,2.3
66,China,Non-Binary,Unemployed,0.1
18,Australia,Male,Self-Employed,5.6
46,India,Non-Binary,Unemployed,5.3
26,Australia,Female,Part-Time,1.0
40,Canada,Non-Binary,Part-Time,1.1
65,India,Female,Self-Employed,3.3
42,Germany,Male,Unemployed,1.0
43,Australia,Non-Binary,Full-Time,0.1
59,United States,Female,Unemployed,0.6
70,Mexico,Non-Binary,Part-Time,2.0
29,United States,Male,Self-Employed,1.6
36,Australia,Male,Unemployed,1.2
40,Germany,Non-Binary,Self-Employed,5.1
58,Australia,Non-Binary,Self-Employed,1.9
80,United States,Male,Unemployed,8.1
44,Germany,Non-Binary,Part-Time,0.9
69,Germany,Male,Unemployed,2.0
49,Canada,Non-Binary,Part-Time,1.4
58,Mexico,Male,Unemployed,2.2
27,China,Non-Binary,Unemployed,0.6
79,Canada,Non-Binary,Self-Employed,1.2
60,India,Non-Binary,Self-Employed,1.2
71,China,Female,Part-Time,0.7
37,Australia,Female,Self-Employed,0.5
73,Canada,Male,Part-Time,0.0
27,Canada,Female,Full-Time,1.0
56,China,Male,Unemployed,0.4
30,Mexico,Male,Full-Time,3.8
70,Canada,Male,Part-Time,2.6
33,Australia,Male,Part-Time,9.2
21,China,Male,Full-Time,3.6
47,Mexico,Non-Binary,Part-Time,1.8
63,Australia,Female,Self-Employed,2.1
